dir,object,section,size_hex,size_dec
ex5,task_refer.o,.debug_str,0x00000cb5,3253
ex5,task_refer.o,.comment,0x00000034,52
ex5,task_refer.o,.debug_frame,0x00000030,48
ex5,task_refer.o,.ARM.attributes,0x00000033,51
ex5,task_sync.o,.text,0x00000b30,2864
ex5,task_sync.o,.data,0x00000000,0
ex5,task_sync.o,.bss,0x00000000,0
ex5,task_sync.o,.rodata.str1.4,0x00000030,48
ex5,task_sync.o,.debug_info,0x000031c3,12739
ex5,task_sync.o,.debug_abbrev,0x00000438,1080
ex5,task_sync.o,.debug_loc,0x00001975,6517
ex5,task_sync.o,.debug_aranges,0x00000020,32
ex5,task_sync.o,.debug_ranges,0x00000568,1384
ex5,task_sync.o,.debug_line,0x00001ceb,7403
ex5,task_sync.o,.debug_str,0x00000a8b,2699
ex5,task_sync.o,.comment,0x00000034,52
ex5,task_sync.o,.debug_frame,0x00000138,312
ex5,task_sync.o,.ARM.attributes,0x00000033,51
ex5,task_term.o,.text,0x00000644,1604
ex5,task_term.o,.data,0x00000000,0
ex5,task_term.o,.bss,0x00000000,0
ex5,task_term.o,.debug_info,0x000023f5,9205
ex5,task_term.o,.debug_abbrev,0x0000049a,1178
ex5,task_term.o,.debug_loc,0x00000f37,3895
ex5,task_term.o,.debug_aranges,0x00000020,32
ex5,task_term.o,.debug_ranges,0x00000420,1056
ex5,task_term.o,.debug_line,0x00001171,4465
ex5,task_term.o,.debug_str,0x00000a2c,2604
ex5,task_term.o,.comment,0x00000034,52
ex5,task_term.o,.debug_frame,0x000000b8,184
ex5,task_term.o,.ARM.attributes,0x00000033,51
ex5,semaphore.o,.text,0x0000087c,2172
ex5,semaphore.o,.data,0x00000000,0
ex5,semaphore.o,.bss,0x00000000,0
ex5,semaphore.o,.rodata.str1.4,0x0000002f,47
ex5,semaphore.o,.debug_info,0x00002913,10515
ex5,semaphore.o,.debug_abbrev,0x0000047b,1147
ex5,semaphore.o,.debug_loc,0x000013f0,5104
ex5,semaphore.o,.debug_aranges,0x00000020,32
ex5,semaphore.o,.debug_ranges,0x00000408,1032
ex5,semaphore.o,.debug_line,0x00001722,5922
ex5,semaphore.o,.debug_str,0x00000b1f,2847
ex5,semaphore.o,.comment,0x00000034,52
ex5,semaphore.o,.debug_frame,0x000000fc,252
ex5,semaphore.o,.ARM.attributes,0x00000033,51
ex5,eventflag.o,.text,0x00000c00,3072
ex5,eventflag.o,.data,0x00000000,0
ex5,eventflag.o,.bss,0x00000000,0
ex5,eventflag.o,.rodata.str1.4,0x0000002f,47
ex5,eventflag.o,.debug_info,0x0000339c,13212
ex5,eventflag.o,.debug_abbrev,0x000004b5,1205
ex5,eventflag.o,.debug_loc,0x00002161,8545
ex5,eventflag.o,.debug_aranges,0x00000020,32
ex5,eventflag.o,.debug_ranges,0x00000688,1672
ex5,eventflag.o,.debug_line,0x00001d42,7490
ex5,eventflag.o,.debug_str,0x00000b6e,2926
